rva	sub	name	lane	size	n_callees	n_blocking	blocking	arg_hint	n_callers_c2plus	notes
0040d020	track	FUN_0040d020	state-runnable-now	21	1	0		stack,ecx-this	1	Load track by index: FUN_00426e10(**(param_1+param_2*4)); 20-byte thunk | C1->C2 batch_aj sweep-20260602-1945
00456ce0	gameplay	FUN_00456ce0	state-runnable-now	21	0	0		eax-deref	0	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_an sw
0049a0a0	render	FUN_0049a0a0	state-runnable-now	21	1	0		-	0	3-way dispatcher on DAT_00773968: 0=FUN_0045b350 1=FUN_0049a740(mode-1 setter) 2=FUN_0049a2e0(mode-2 setter); | batch-render-3-s2 plate at re/analysis/render_3_
0049a150	render	FUN_0049a150	state-runnable-now	21	1	0		-	0	3-way dispatcher on DAT_00773968 for teardown: 0=FUN_0045b350 1=FUN_0049ab10(mode-1 teardown) 2=FUN_0045b350; | batch-render-3-s2 plate at re/analysis/render_3_
005aaff0	audio	FUN_005aaff0	state-runnable-now	21	1	0		-	0	batch_x s5 audio-channel-meta-cluster; per-channel state + mixer callbacks around the central audio object at DAT_007dca34 | C1->C2 batch_ah sweep-20260602-0245
0041e850	hud	sub_0041e850	state-runnable-now	22	1	0		-	0	guard int32_t DAT_0063d7e0≠0→FUN_0041e630; sub-mode 2; called identically in both DAT_0063ba8c branches
00421690	render	FUN_00421690	state-runnable-now	22	1	0		stack,eax-deref	1	batch_w s1 MIXED[player-slot-state-accessors+gameplay-math-leaves]; small getters/setters + arithmetic leaves around player/vehicle slot state | C1->C2 batch_am
00426c50	frontend	FUN_00426c50	state-runnable-now	22	2	0		stack	1	conditional dispatcher: calls FUN_0041e940 only if FUN_0041ea60 returns non-zero
00426c90	ai	FUN_00426c90	state-runnable-now	22	2	0		stack	1	lap-line conditional: if FUN_0041ea80()!=0 call FUN_0041e960; 22 bytes; D-10560 D-10561; U-3588 | C1->C2 batch_ak sweep-20260603-0116
00471430	gameplay	FUN_00471430	state-runnable-now	22	0	0		eax-deref	0	batch_y s2 MIXED gameplay: vehicle-physics-core (0x00466100..0x0046dd90) + scripted-entity-bytecode (0x00471430..0x00474890) + scenery-actor-pool + WorldDestroy
0047b860	input	FUN_0047b860	state-runnable-now	22	2	0		-	1	Lua state creator: FUN_004b7330(0)->DAT_006bf1e0; FUN_004c0510(state); lua_open+openlibs; S-0300 S-0301; U-0308; D-0820 | C1->C2 batch_aj sweep-20260602-1945
004039c0	vehicle	FUN_004039c0	state-runnable-now	23	1	0		-	1	"promoted_from=re/analysis/powerups/0x004039c0.md; Bomb DFF loader; stores FUN_0042a5d0(""Bomb.dff"") result at 0x00636c00"
00477e40	render	FUN_00477e40	state-runnable-now	23	2	0		-	1	batch_w s2 MIXED[gfx-particle-emitter+decal-shockwave-trail+geometry-plane-clip+anim-keyframe-interp+script-vm-handler-bank]; render-heavy mixed bucket | batch-
00491780	render	FUN_00491780	state-runnable-now	23	1	0		-	1	guard: DAT_00771534==0→return 0; else FUN_00491590(); return 1; U-0911 | batch-render-2-s5 plate at re/analysis/render_2_c1_to_c2_s5/FUN_00491780.md
0049d0a0	particle	FUN_0049d0a0	state-runnable-now	23	0	0		stack,ecx-this	0	batch_ad s3 C1->C2; thiscall setter +0x150/+0x154; no uncertainties
00403640	boot	FUN_00403640	state-runnable-now	24	1	0		stack	0	BackBuffRasterOpen wrapper: FUN_004034a0(param_1)->DAT_00636b78; returns 1; S-0176; promoted S-122
0049a0e0	render	FUN_0049a0e0	state-runnable-now	24	1	0		-	0	rain mode selector; DAT_00636ad4 guard; reads DAT_00771e58+0xc4/0xcc; sets DAT_00773968=0/1/2; calls mode-1 init or mode-2 query; | batch-render-3-s2 plate at r
005ae380	audio	FUN_005ae380	state-runnable-now	24	1	0		stack,eax-deref	1	batch_w s6 audio-rws-source+sequencer-segment+custom-allocator-arena; RenderWare audio path + sequencer + arena allocator | C1->C2 batch_ah sweep-20260602-0245
0040de10	util	FUN_0040de10	state-runnable-now	25	3	0		-	0	calls FUN_0040ddb0+Replay::StartLap; writes 1→DAT_0063ba8c; calls FUN_00405420; S-1603
0047b880	input	FUN_0047b880	state-runnable-now	25	1	0		-	1	Lua state closer: FUN_004b7480(DAT_006bf1e0) then DAT_006bf1e0=0; lua_close; S-0302; D-0820 | C1->C2 batch_aj sweep-20260602-1945
004cfe20	render	FUN_004cfe20	state-runnable-now	25	1	0		-	0	render pool init: DAT_007d46e4 = FUN_004cc7f0(8 0x7f 4 0x30411); 127×8-byte pool; called by FUN_004c7a70 case 2 after device creation; plate at re/analysis/rend
004d8530	render	rwID_PIPEMODULE_ctor	state-runnable-now	25	1	0		stack	0	plugin id=0x409; size=0x60; ctor: store offset to DAT_00911ae0; call FUN_004d3db0; NEG/SBB/AND success idiom; LAB_ not FUN_; U-5382 U-5383
005571c0	hud	FontSys_ShutdownFontPool	state-runnable-now	25	1	0		-	1	C1->C2 batch-ae-s6: FUN_004cc9f0(DAT_00912a2c)+zero DAT_00912a2c; 25-byte leaf; counterpart FUN_005571e0; no uncertainties
005a6c90	audio	FUN_005a6c90	state-runnable-now	25	1	0		stack,eax-deref	2	batch_y s6 audio stream + codec pipeline (EA-XA + IMA ADPCM); main audio backend body 0x005a6030..0x005b81fe | C1->C2 batch_ah sweep-20260602-0245
005ad8b0	audio	FUN_005ad8b0	state-runnable-now	25	1	0		stack,eax-deref	2	batch_x s5 audio-channel-meta-cluster; per-channel state + mixer callbacks around the central audio object at DAT_007dca34 | C1->C2 batch_ah sweep-20260602-0245
00409950	gameplay	FUN_00409950	state-runnable-now	26	0	0		-	0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0049c770	particle	FUN_0049c770	state-runnable-now	26	1	0		eax-deref	0	batch-ad-s1 C1->C2: guard param_1[0x14]; vtable+0x70 call no arg; returns 0; U-4042 U-4043
0044b000	render	FUN_0044b000	state-runnable-now	27	1	0		stack,eax-deref	1	batch_y s1 powerup-bezier-adjacent + per-player-audio-slot-subdomain; gameplay effect/audio glue around player slots | C1->C2 batch_am sweep-20260603-0427 | rec
0047cde0	gameplay	FUN_0047cde0	state-runnable-now	27	0	0		stack,eax-deref	0	batch_y s2 MIXED gameplay: vehicle-physics-core (0x00466100..0x0046dd90) + scripted-entity-bytecode (0x00471430..0x00474890) + scenery-actor-pool + WorldDestroy
0047ce20	gameplay	FUN_0047ce20	state-runnable-now	27	0	0		stack,eax-deref	0	batch_y s2 MIXED gameplay: vehicle-physics-core (0x00466100..0x0046dd90) + scripted-entity-bytecode (0x00471430..0x00474890) + scenery-actor-pool + WorldDestroy
00496ce0	boot	FUN_00496ce0	state-runnable-now	27	1	0		-	1	ma1-ghidra-s4: 8 instr 26B; cdecl no-arg; FUN_004d41e0(DAT_00773094) + FUN_004d41e0(DAT_00773088); single caller FUN_00402a40; U-3327 semantic-only on callee
00456d00	gameplay	FUN_00456d00	state-runnable-now	28	1	0		eax-deref	0	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_an sw
0049c750	particle	FUN_0049c750	state-runnable-now	28	1	0		eax-deref	0	batch-ad-s1 C1->C2: guard param_1[0x14]; vtable+0x28 call arg=1; returns 0; U-4041 S-4126
004cfee0	render	FUN_004cfee0	state-runnable-now	28	0	0		stack,eax-deref	0	raster per-obj D3D surface byte reader; if *param_1 != 0 returns *(byte*)(*param_1+8+DAT_00911ae4); else 0; callers FUN_005412d0/00541d40; plate at re/analysis/
00550c30	util	RtFSHandler::GetFileSlot	state-runnable-now	28	0	0		stack,ecx-this,eax-deref	0	piz_fsmanager_handler vtable+0x14; slot lookup index*0x60+base; no Win32; see re/analysis/piz_fsmanager_handler/REPORT.md
005bcd80	audio	FUN_005bcd80	state-runnable-now	28	1	0		stack,ecx-this,eax-deref	2	batch_x s6 RwaDSRenderer DirectShow filter; audio backend implemented via DirectShow filter graph (RW audio over DS) | C1->C2 batch_ai sweep-20260602-0347
00407600	util	Player::GetPositionPtr	state-runnable-now	29	1	0		stack,eax-deref	2	FUN_0047d150((&DAT_00639dc4)[param_1*0x3B])+0x30; player array stride 0x3B; returns float* position for mode-5; D-6474
00423b00	frontend	FUN_00423b00	state-runnable-now	29	4	0		-	1	29B frontend menu-input frame dispatcher: guard DAT_007f1a50==1 -> calls FrontendDirInput(00423040)+TabCycler(00423270)+CursorMover(00423320)+FUN_00423670; recl
00496470	boot	sub_00496470	state-runnable-now	29	1	0		-	1	WM_DESTROY handler: if DAT_00772fbc(FILE*) non-null: _fclose+NULL; sets quit path via caller [WM_DESTROY sets DAT_00773918=1 in WNDPROC]
0049ceb0	particle	FUN_0049ceb0	state-runnable-now	29	1	0		ecx-this,eax-deref	0	batch-ad-s2 particle C1->C2; U/S IDs in re/analysis/particle_promote_ad2/
004b4050	render	FUN_004b4050	state-runnable-now	29	1	0		stack,eax-deref	1	batch_v s2 drift-cross-ref into cluster_004b4_first_pass (canonical plate from batch-t-s1); first hooks.csv row landed here | C1->C2 batch_aj sweep-20260602-194
005b1160	audio	FUN_005b1160	state-runnable-now	29	0	0		stack,eax-deref	0	batch_w s6 audio-rws-source+sequencer-segment+custom-allocator-arena; RenderWare audio path + sequencer + arena allocator | C1->C2 batch_ah sweep-20260602-0245
005ae7e0	audio	FUN_005ae7e0	state-runnable-now	30	1	0		stack,ecx-this,eax-deref	4	batch_w s6 audio-rws-source+sequencer-segment+custom-allocator-arena; RenderWare audio path + sequencer + arena allocator | C1->C2 batch_ah sweep-20260602-0245
0047b230	render	FUN_0047b230	state-runnable-now	31	2	0		stack	0	batch_w s2 MIXED[gfx-particle-emitter+decal-shockwave-trail+geometry-plane-clip+anim-keyframe-interp+script-vm-handler-bank]; render-heavy mixed bucket | batch-
004929d0	util	FUN_004929d0	state-runnable-now	31	1	0		eax-deref	1	STATE_FN: switch(DAT_00771968) 7 cases; session-phase dispatcher; calls course-load in case 2; U-0487 U-0488; S-0480..S-0490; [drift-corrected 2026-05-12: exist
004b7fd0	render	FUN_004b7fd0	state-runnable-now	31	1	0		stack,eax-deref	1	Lua TValue setter tag=1 (bool true): FUN_004b7ff0(L,p3)→slot; *slot=p2; *(slot+3:u16)=1; batch-render-3-s6 plate at re/analysis/render_3_c1_to_c2_s6/FUN_004b7fd
004b8080	render	FUN_004b8080	state-runnable-now	31	1	0		stack,eax-deref	0	Lua TValue setter tag=0 (bool false): FUN_004b7ff0(L,p3)→slot; *slot=p2; *(slot+3:u16)=0; caller FUN_004b87e0; batch-render-3-s6 plate at re/analysis/render_3_c
004c0ed0	render	FUN_004c0ed0	state-runnable-now	31	1	0		stack,eax-deref	32	RwFrameGetLTM pattern: tests *(*(param_1+0xa0)+3)&1; if dirty calls FUN_004d8350; returns param_1+0x50 (LTM); 38 callers; batch-render-3-s6 plate at re/analysis
004d5550	render	FUN_004d5550	state-runnable-now	31	0	0		stack,ecx-this,eax-deref	0	TSS desired-value getter: reads DAT_007d4720[stage*0x42 + state*2] into *param_3; companion to FUN_004d54f0 | C1->C2 batch-render-6-s1
005a9f10	audio	FUN_005a9f10	state-runnable-now	31	1	0		stack,eax-deref	1	batch_x s5 audio-channel-meta-cluster; per-channel state + mixer callbacks around the central audio object at DAT_007dca34 | C1->C2 batch_ah sweep-20260602-0245
005ba760	audio	FUN_005ba760	state-runnable-now	31	2	0		stack,eax-deref	2	COM cleanup: FUN_005aabe0(*param_1)<2 → FUN_005bc880 + CoUninitialize; jumptable warning 0x005ba779; U-1370; clears S-0348 | C1->C2 batch_ai sweep-20260602-0347
005bf350	audio	FUN_005bf350	state-runnable-now	31	1	0		stack,eax-deref	1	batch_x s6 RwaDSRenderer DirectShow filter; audio backend implemented via DirectShow filter graph (RW audio over DS) | C1->C2 batch_ai sweep-20260602-0347
0040dbd0	util	FUN_0040dbd0	state-runnable-now	32	2	0		eax-deref	0	122b switch on FUN_0042f6a0 (cases 2/6/10/default) gated by FUN_0042f500!=0 and DAT_007f0fd0!=2; sets DAT_0063ba8c=5 on every exit; U-3640; S-3650..S-3653; D-10
00494460	frontend	sub_00494460	state-runnable-now	32	2	0		-	2	VideoClose; FUN_00494320+FUN_004c7650; zeros DAT_00771a18+00771a04; S-3955 S-3956; skeleton-prep-s1
00409790	gameplay	FUN_00409790	state-runnable-now	33	1	0		eax-deref	1	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
004098d0	gameplay	FUN_004098d0	state-runnable-now	33	0	0		-	0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
004b9600	input	FUN_004b9600	state-runnable-now	33	1	0		stack,ecx-this	1	 | C1->C2 batch_aj sweep-20260602-1945,tag range validator; checks param_2 in [0 *(L+0x4c)]; error via FUN_004b7df0; depth-1-fill
0040d440	track	FUN_0040d440	state-runnable-now	34	1	0		-	0	Course::LoadCurrent: calls FUN_0040d270(PTR_PTR_005f2770 DAT_0063ba7c); saves DAT_0063ba7c→DAT_0063ba78; track_world_initial_sweep [merged-from-dup: calls FUN_0
0045c820	audio	FUN_0045c820	state-runnable-now	34	0	0		stack,eax-deref	0	,audio slot allocator; scan DAT_0088f0a0[0..3] for first zero; write param_1+1; return 1-indexed slot; depth-1-fill | C1->C2 batch_ah sweep-20260602-0245
00496970	render	FUN_00496970	state-runnable-now	34	1	0		-	1	cluster_0049_first_pass batch_t-s3; input/DInput-adjacent confirmed (32 of 60 input/frontend); also includes render+video glue at 0x4942b0-0x4948 and rain parti
004dfa10	render	FUN_004dfa10	state-runnable-now	34	0	0		stack,ecx-this	0	batch_v s3 renderware-d3d9-driver; rwimage-raster-format-conv + rwheap-allocator + csl-pipeline-nodes + rpgeometry/rpworld/rpatomic stream-codec + d3d9-vertex-d
004dfa40	render	FUN_004dfa40	state-runnable-now	34	0	0		stack,eax-deref	0	batch_v s3 renderware-d3d9-driver; rwimage-raster-format-conv + rwheap-allocator + csl-pipeline-nodes + rpgeometry/rpworld/rpatomic stream-codec + d3d9-vertex-d
004dfa70	render	FUN_004dfa70	state-runnable-now	34	0	0		stack,eax-deref	0	batch_v s3 renderware-d3d9-driver; rwimage-raster-format-conv + rwheap-allocator + csl-pipeline-nodes + rpgeometry/rpworld/rpatomic stream-codec + d3d9-vertex-d
005b0b10	audio	FUN_005b0b10	state-runnable-now	34	1	0		stack,ecx-this,eax-deref	3	batch_w s6 audio-rws-source+sequencer-segment+custom-allocator-arena; RenderWare audio path + sequencer + arena allocator | C1->C2 batch_ah sweep-20260602-0245
00407550	gameplay	FUN_00407550	state-runnable-now	35	0	0		eax-deref	0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0045bfa0	powerups	PowerupSlotActivate	state-runnable-now	35	1	0		stack,eax-deref	1	lookup type entry via FUN_0045baa0; arm via entry+0x04; store entry ptr at slot+0xa8 countdown at slot+0xac; 34 bytes | C1->C2 batch_aj sweep-20260602-1945
0047b200	render	FUN_0047b200	state-runnable-now	35	3	0		stack	0	batch_w s2 MIXED[gfx-particle-emitter+decal-shockwave-trail+geometry-plane-clip+anim-keyframe-interp+script-vm-handler-bank]; render-heavy mixed bucket | batch-
0048cee0	particle	FUN_0048cee0	state-runnable-now	35	1	0		ecx-this	0	batch-ac-s5: per-type bank init; EDI type-index; switch smoke/flatshad/wfall; U-4000..U-4001; S-4101..S-4103
004c1be0	frontend	sub_004c1be0	state-runnable-now	35	1	0		stack	6	promoted_from=re/analysis/intro_splash/0x004c1be0.md; batch-ab; reads param_1+0x60; calls FUN_004c7730(inner,HWND,p3); returns param_1 on success; U-0827 S-0820
004c40b0	render	FUN_004c40b0	state-runnable-now	35	0	0		stack	0	D3D matrix-multiply backend setter: null-tolerant fn-ptr into DAT_007d4028+8+DAT_007d3ff8; default LAB_004c40e0; called by FUN_004c7a70 case 0x11 after MXCSR se
0041f290	gameplay	FUN_0041f290	state-runnable-now	36	1	0		stack,eax-deref	9	batch_w s1 MIXED[player-slot-state-accessors+gameplay-math-leaves]; small getters/setters + arithmetic leaves around player/vehicle slot state | C1->C2 batch_am
00451730	gameplay	FUN_00451730	state-runnable-now	36	1	0		stack,eax-deref	1	batch_y s1 powerup-bezier-adjacent + per-player-audio-slot-subdomain; gameplay effect/audio glue around player slots | C1->C2 batch_am sweep-20260603-0427
0047acd0	render	FUN_0047acd0	state-runnable-now	36	2	0		stack,eax-deref	0	batch-render-2-s2 plate at re/analysis/render_2_c1_to_c2_s2/FUN_0047acd0.md; U-4536; script handler set float at sky context +0x20c
0047ad00	render	FUN_0047ad00	state-runnable-now	36	2	0		stack,eax-deref	0	batch-render-2-s2 plate at re/analysis/render_2_c1_to_c2_s2/FUN_0047ad00.md; U-4537; script handler set float at sky context +0x210
0048bbe0	particle	FUN_0048bbe0	state-runnable-now	36	2	0		-	1	batch-ac-s5: one-time init; stores FUN_004c5cb0 result to DAT_00722134; U-3999; S-4098 S-4099
005a60b0	audio	FUN_005a60b0	state-runnable-now	36	4	0		-	1	audio enable+start: DAT_7DC95C=1; FUN_005a6ea0 timer tick; FUN_005aad40 root obj; FUN_005aab00 start; FUN_005a6f30 flush; D-10371 | C1->C2 batch_ah sweep-202606
005ab150	audio	FUN_005ab150	state-runnable-now	36	2	0		stack,eax-deref	1	batch_x s5 audio-channel-meta-cluster; per-channel state + mixer callbacks around the central audio object at DAT_007dca34 | C1->C2 batch_ah sweep-20260602-0245
004722e0	gameplay	FUN_004722e0	state-runnable-now	37	0	0		stack,eax-deref	0	batch_y s2 MIXED gameplay: vehicle-physics-core (0x00466100..0x0046dd90) + scripted-entity-bytecode (0x00471430..0x00474890) + scenery-actor-pool + WorldDestroy
005af7a0	audio	FUN_005af7a0	state-runnable-now	37	1	0		stack,ecx-this,eax-deref	1	batch_w s6 audio-rws-source+sequencer-segment+custom-allocator-arena; RenderWare audio path + sequencer + arena allocator | C1->C2 batch_ah sweep-20260602-0245
00451060	gameplay	FUN_00451060	state-runnable-now	38	3	0		eax-deref	1	batch_y s1 powerup-bezier-adjacent + per-player-audio-slot-subdomain; gameplay effect/audio glue around player slots | C1->C2 batch_am sweep-20260603-0427
0047a180	render	FUN_0047a180	state-runnable-now	38	3	0		stack,ecx-this	0	batch-render-2-s2 plate at re/analysis/render_2_c1_to_c2_s2/FUN_0047a180.md; U-4533; script handler get current sky object
00494480	video	FUN_00494480	state-runnable-now	38	3	0		eax-deref	2	cluster_0049_first_pass batch_t-s3; input/DInput-adjacent confirmed (32 of 60 input/frontend); also includes render+video glue at 0x4942b0-0x4948 and rain parti
00495080	frontend	FUN_00495080	state-runnable-now	38	1	0		stack,fpu	1	wrapper: FUN_00494fd0(param_1*2+_DAT_005cc32c, param_2); caller FUN_0043dfd0; D-4865; S-3626 U-3647
005a60e0	audio	FUN_005a60e0	state-runnable-now	38	2	0		-	2	audio stop: FUN_005aad40 root obj; FUN_005aab70 stop walk; DAT_7DC95C=0; DAT_7DC958++; D-10372 | C1->C2 batch_ah sweep-20260602-0245
00421560	render	FUN_00421560	state-runnable-now	39	1	0		ecx-this,eax-deref	1	batch_w s1 MIXED[player-slot-state-accessors+gameplay-math-leaves]; small getters/setters + arithmetic leaves around player/vehicle slot state | C1->C2 batch_am
0045d430	util	FUN_0045d430	state-runnable-now	39	1	0		-	2	38b void; DAT_006904ec==1 guard; calls FUN_005a60e0; resets ec=0; complement to 0x0045d3f0; U-1139
0048fce0	particle	FUN_0048fce0	state-runnable-now	39	1	0		ecx-this,eax-deref	1	batch-ac-s6 C1->C2 mechanical
0048fd10	particle	FUN_0048fd10	state-runnable-now	39	1	0		ecx-this,eax-deref	1	batch-ac-s6 C1->C2 mechanical
0048fd40	particle	FUN_0048fd40	state-runnable-now	39	1	0		ecx-this,eax-deref	1	batch-ac-s6 C1->C2 mechanical
00490f50	render	FUN_00490f50	state-runnable-now	39	0	0		stack	0	LineRain SetHeadColour: writes 4 bytes to DAT_00616030..33 | batch-render-2-s5 plate at re/analysis/render_2_c1_to_c2_s5/FUN_00490f50.md
00490f80	render	FUN_00490f80	state-runnable-now	39	0	0		stack	0	LineRain SetTailColour: writes 4 bytes to DAT_00616034..37 | batch-render-2-s5 plate at re/analysis/render_2_c1_to_c2_s5/FUN_00490f80.md
004df9b0	render	FUN_004df9b0	state-runnable-now	39	0	0		stack,ecx-this	0	batch_v s3 renderware-d3d9-driver; rwimage-raster-format-conv + rwheap-allocator + csl-pipeline-nodes + rpgeometry/rpworld/rpatomic stream-codec + d3d9-vertex-d
004e4320	render	FUN_004e4320	state-runnable-now	39	1	0		stack,ecx-this,eax-deref	5	DAT_007d716c[+0xc] slot setter; cond FUN_004c0e50 on prior slot+4; store param_1 at slot+0xc; skeleton_prep_s5-20260522; callee FUN_004c0e50 C1
00557220	hud	FontSys_ShutdownDataPools	state-runnable-now	39	1	0		-	1	C1->C2 batch-ae-s6: FUN_004cc9f0(DAT_00912a34)+FUN_004cc9f0(DAT_00912a38)+zero both; 38-byte leaf; counterpart FUN_00557250; no uncertainties
005a9de0	audio	FUN_005a9de0	state-runnable-now	39	1	0		stack,eax-deref	1	batch_x s5 audio-channel-meta-cluster; per-channel state + mixer callbacks around the central audio object at DAT_007dca34 | C1->C2 batch_ah sweep-20260602-0245
